"name","type"
"Zgueb, Y.","NA"
"Whybrow, P. C.","NA"
"Dyrberg, H.","NA"
"Bjorvatn, B.","NA"
"Kjeldsen, M. J.","NA"
"Pedersen, Martin Locht","NA"
"Gildberg, Frederik Alkier","NA"
"Birkeland, Søren","NA"
"Wismann, J.","NA"
"Sommer-Sorensen, R. H.","NA"
"Gronhoj, M. H.","NA"
"Larsen, T. S.","NA"
"Moller, M. B.","NA"
"Fruekilde, S. K.","NA"
"Bailey, C. J.","NA"
"Carlsen, J.","NA"
"Xu, N. L.","NA"
"Drasbek, K. R.","NA"
"Gutierrez-Jimenez, E.","NA"
"Marcussen, J.","NA"
"Schriver, Karen Nissen","NA"
"Ong, Ben","NA"
"Rossen, Camilla Blach","NA"
"Buus, Niels","NA"
"Milling, L.","NA"
"Mikkelsen, S.","NA"
"Oxholm, C.","NA"
"Christensen, A. S.","NA"
"Zacher Kjeldsen, M. M.","NA"
"Fluttert, F. A. J.","NA"
"Bjørkly, Stål","NA"
"Dale, Karl Yngvar","NA"
"Eriksen, L. S.","NA"
"Daniela Maier, A.","NA"
"Santarius, T.","NA"
"Andree Larsen, V.","NA"
"Winther Kristensen, B.","NA"
"Law, I.","NA"
"Haddad, P. M.","NA"
"Winkel, J. S.","NA"
"Nybo, M.","NA"
"Klausen, Søren Harnow","NA"
